"genes","cluster"
"K00091",15
"K00294",15
"K00331",15
"K00633",15
"K00754",15
"K00957",15
"K01082",15
"K01132",15
"K01159",15
"K01273",15
"K01369",15
"K01465",15
"K01588",15
"K01646",15
"K01731",15
"K01753",15
"K01933",15
"K01991",15
"K01992",15
"K02045",15
"K02078",15
"K02099",15
"K02106",15
"K02203",15
"K02341",15
"K02426",15
"K02478",15
"K02527",15
"K02574",15
"K02601",15
"K02779",15
"K02867",15
"K02907",15
"K02913",15
"K02990",15
"K03072",15
"K03074",15
"K03394",15
"K03429",15
"K03497",15
"K03584",15
"K03610",15
"K03628",15
"K03630",15
"K03683",15
"K03685",15
"K03740",15
"K05245",15
"K05337",15
"K05515",15
"K05559",15
"K05575",15
"K05845",15
"K05846",15
"K05970",15
"K05979",15
"K06142",15
"K06229",15
"K06386",15
"K06911",15
"K07037",15
"K07274",15
"K07462",15
"K07584",15
"K07666",15
"K07712",15
"K07719",15
"K07720",15
"K08083",15
"K08217",15
"K08220",15
"K08353",15
"K08737",15
"K08784",15
"K10104",15
"K10532",15
"K10555",15
"K10556",15
"K10670",15
"K10681",15
"K10820",15
"K11066",15
"K11616",15
"K11788",15
"K12113",15
"K12368",15
"K12529",15
"K13019",15
"K13059",15
"K13746",15
"K13789",15
"K13868",15
"K13889",15
"K13890",15
"K13896",15
"K13923",15
"K15022",15
"K15461",15
"K15655",15
"K15668",15
"K15977",15
"K16138",15
"K16697",15
"K16788",15
"K17248",15
"K17716",15
"K18014",15
"K18022",15
"K18119",15
"K18195",15
"K18209",15
"K18332",15
"K18367",15
"K19068",15
"K19077",15
"K19091",15
"K19139",15
"K19140",15
"K19419",15
"K19422",15
"K19429",15
"K19449",15
"K19576",15
"K20742",15
"K21021",15
"K21063",15
"K21417",15
"K21898",15
"K22108",15
"K22129",15
"K22405",15
"K23265",15
"K23617",15
"K24265",15
"K24446",15
"K25038",15
"K25212",15
"K25222",15
"K25528",15
"K26930",15
