"genes","cluster"
"K00058",10
"K00091",10
"K00179",10
"K00282",10
"K00283",10
"K00294",10
"K00350",10
"K00351",10
"K00527",10
"K00532",10
"K00601",10
"K00602",10
"K00674",10
"K00710",10
"K00889",10
"K01042",10
"K01095",10
"K01131",10
"K01421",10
"K01478",10
"K01687",10
"K01816",10
"K01843",10
"K01844",10
"K01912",10
"K01933",10
"K01945",10
"K02120",10
"K02188",10
"K02431",10
"K02574",10
"K02779",10
"K03310",10
"K03311",10
"K03399",10
"K03735",10
"K03740",10
"K03826",10
"K04027",10
"K04070",10
"K04757",10
"K05575",10
"K05770",10
"K05845",10
"K05846",10
"K06012",10
"K06168",10
"K06196",10
"K06238",10
"K06351",10
"K06398",10
"K06403",10
"K06911",10
"K07023",10
"K07282",10
"K07304",10
"K07309",10
"K07461",10
"K07498",10
"K07679",10
"K07710",10
"K07813",10
"K08081",10
"K08083",10
"K08353",10
"K09022",10
"K10546",10
"K10670",10
"K10671",10
"K10672",10
"K10793",10
"K11153",10
"K11537",10
"K12266",10
"K12267",10
"K12368",10
"K12529",10
"K12943",10
"K13632",10
"K13889",10
"K13890",10
"K14534",10
"K14591",10
"K14729",10
"K14977",10
"K15022",10
"K15428",10
"K15521",10
"K15554",10
"K15871",10
"K16053",10
"K16651",10
"K18012",10
"K18209",10
"K18331",10
"K18332",10
"K18471",10
"K19051",10
"K19796",10
"K19954",10
"K20202",10
"K20627",10
"K20757",10
"K21472",10
"K21531",10
"K22567",10
"K23265",10
"K23856",10
"K24986",10
"K25181",10
"K27245",10
"K27684",10
