"genes","cluster"
"K00036",13
"K00094",13
"K00125",13
"K00193",13
"K00198",13
"K00219",13
"K00241",13
"K00525",13
"K00526",13
"K00547",13
"K00611",13
"K00627",13
"K00632",13
"K00674",13
"K00759",13
"K00795",13
"K00849",13
"K00926",13
"K00995",13
"K01130",13
"K01142",13
"K01246",13
"K01256",13
"K01390",13
"K01430",13
"K01464",13
"K01478",13
"K01483",13
"K01598",13
"K01649",13
"K01652",13
"K01805",13
"K01925",13
"K01956",13
"K02000",13
"K02037",13
"K02160",13
"K02195",13
"K02236",13
"K02237",13
"K02356",13
"K02357",13
"K02563",13
"K02838",13
"K02878",13
"K02884",13
"K02886",13
"K02888",13
"K02892",13
"K02895",13
"K02899",13
"K02914",13
"K02926",13
"K02950",13
"K02952",13
"K02956",13
"K02994",13
"K02996",13
"K03040",13
"K03060",13
"K03089",13
"K03151",13
"K03303",13
"K03305",13
"K03476",13
"K03534",13
"K03536",13
"K03570",13
"K03575",13
"K03672",13
"K03722",13
"K03731",13
"K03735",13
"K03762",13
"K03783",13
"K03810",13
"K03892",13
"K03925",13
"K03976",13
"K04021",13
"K04023",13
"K04030",13
"K04031",13
"K04034",13
"K04080",13
"K04108",13
"K04487",13
"K04651",13
"K04769",13
"K05351",13
"K05659",13
"K05804",13
"K05820",13
"K06173",13
"K06390",13
"K06778",13
"K06895",13
"K06942",13
"K06956",13
"K06960",13
"K06968",13
"K07029",13
"K07038",13
"K07042",13
"K07067",13
"K07071",13
"K07112",13
"K07219",13
"K07307",13
"K07308",13
"K07321",13
"K07570",13
"K07586",13
"K07658",13
"K07718",13
"K07728",13
"K07814",13
"K08296",13
"K08302",13
"K08981",13
"K09116",13
"K09167",13
"K09384",13
"K09685",13
"K09695",13
"K09748",13
"K09762",13
"K09767",13
"K09779",13
"K09812",13
"K09888",13
"K09972",13
"K10017",13
"K10212",13
"K10237",13
"K10429",13
"K10440",13
"K10562",13
"K10762",13
"K10781",13
"K10816",13
"K10844",13
"K11176",13
"K11733",13
"K11753",13
"K11787",13
"K11901",13
"K12308",13
"K12369",13
"K12556",13
"K12734",13
"K13815",13
"K13920",13
"K13922",13
"K13950",13
"K14273",13
"K15017",13
"K15496",13
"K15497",13
"K15509",13
"K15515",13
"K15555",13
"K15915",13
"K16069",13
"K16170",13
"K16200",13
"K16202",13
"K16235",13
"K16263",13
"K16553",13
"K16703",13
"K16710",13
"K16795",13
"K17315",13
"K17320",13
"K17758",13
"K17810",13
"K17991",13
"K17993",13
"K17994",13
"K17995",13
"K17996",13
"K18016",13
"K18123",13
"K18234",13
"K18278",13
"K18284",13
"K18359",13
"K18475",13
"K18534",13
"K18682",13
"K18890",13
"K18894",13
"K18896",13
"K19220",13
"K19234",13
"K19295",13
"K19333",13
"K19420",13
"K19421",13
"K19883",13
"K20073",13
"K20118",13
"K21275",13
"K21304",13
"K21471",13
"K21480",13
"K21905",13
"K22107",13
"K22390",13
"K22607",13
"K22704",13
"K23187",13
"K23545",13
"K23675",13
"K24040",13
"K24843",13
"K24949",13
"K25158",13
"K25261",13
"K25434",13
"K25670",13
"K25678",13
"K26210",13
"K26818",13
"K26894",13
"K26993",13
"K27187",13
"K27188",13
"K27190",13
"K27260",13
"K27264",13
"K27271",13
