id	T1_LoCHO_PROT_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC	P	level1	level2	level3	ko_name	color	sig
K18221	0.924647420257456	17.2101063462978	-1.4313066850595	0.918604292169743	-4.21820884937556	0.0813957078302571	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tetX; tetracycline 11a-monooxygenase, tetracycline resistance protein [EC:1.14.13.231]	lightblue	notsig
K00561	150.643040526519	869.255541476342	-2.22160596009191	0.996139361067995	-2.52864633490557	0.0038606389320045	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	ermC, ermA; 23S rRNA (adenine-N6)-dimethyltransferase [EC:2.1.1.184]	blue	sig
K00662	3.47223328517913	13.8163803789853	-0.956572849031648	0.69599483865167	-1.99244392244474	0.30400516134833	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aacC; aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]	lightblue	notsig
K18234	14.1072749523231	31.4068926793916	-0.578045702441254	0.803613112575197	-1.15464187832359	0.196386887424803	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vat; virginiamycin A acetyltransferase [EC:2.3.1.-]	lightblue	notsig
K08168	31.4969745424316	69.7927996649766	-0.661995179447112	0.782040793235383	-1.14786494867585	0.217959206764617	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tetB; MFS transporter, DHA2 family, metal-tetracycline-proton antiporter	lightblue	notsig
K03739	0.750910192793064	1.64073276784533	-0.404292025068381	0.796474692926312	-1.12762800094399	0.203525307073688	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dltB; membrane protein involved in D-alanine export	lightblue	notsig
K00897	42.0442727737412	89.9983428974506	-0.641387694072702	0.782404713407389	-1.09798914645978	0.217595286592611	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aphA; kanamycin kinase [EC:2.7.1.95]	lightblue	notsig
K18141	0.734368161868308	1.57014716925916	-0.492244746196346	0.816901466933592	-1.0963243707148	0.183098533066408	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	acrE; membrane fusion protein, multidrug efflux system	lightblue	notsig
K08170	6.82639956599358	14.2646364891394	-0.496497143285862	0.816090590324347	-1.06324621615375	0.183909409675653	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	norB, norC; MFS transporter, DHA2 family, multidrug resistance protein	lightblue	notsig
K15632	0.528750060561725	1.0151665481382	-0.430784166877412	0.805503665336783	-0.941058606666787	0.194496334663217	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	cfr; 23S rRNA (adenine-C8)-methyltransferase [EC:2.1.1.224]	lightblue	notsig
K18104	47.8370012330564	91.5551762238093	-0.603071303875683	0.795458185430378	-0.936514499606758	0.204541814569622	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	abcA, bmrA; ATP-binding cassette, subfamily B, bacterial AbcA/BmrA [EC:7.6.2.2]	lightblue	notsig
K03740	2.88805016918716	4.78869269691305	-0.264757262923212	0.800614423979199	-0.729536053052772	0.199385576020801	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dltD; D-alanine transfer protein	lightblue	notsig
K19883	5.47596709904902	8.77640618335456	-0.363569391114911	0.794438859404238	-0.680516518509553	0.205561140595762	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aacA-aphD; bifunctional aminoglycoside 6'-N-acetyltransferase / aminoglycoside 2''-phosphotransferase [EC:2.3.1.82 2.7.1.190]	lightblue	notsig
K14205	33.95498217154	54.4029424966992	-0.404034799661986	0.796395152597565	-0.68006140994028	0.203604847402435	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mprF, fmtC; phosphatidylglycerol lysyltransferase [EC:2.3.2.3]	lightblue	notsig
