id	T1_LoCHO_FAT_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level1	level2	level3	ko_name	color	sig
K14205	2.52978535649209	33.3576213286192	-1.72618306466216	0.984815339678248	-3.72092952893023	0.0151846603217523	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mprF, fmtC; phosphatidylglycerol lysyltransferase [EC:2.3.2.3]	blue	sig
K00897	4.75066350281403	40.5294163146894	-1.39481364167114	0.971417835958408	-3.0927684714737	0.0285821640415924	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aphA; kanamycin kinase [EC:2.7.1.95]	blue	sig
K03367	111.830380496791	869.098213230142	-2.44134300464692	0.999999999999999	-2.95820704689025	1.11022302462516e-15	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dltA; D-alanine--poly(phosphoribitol) ligase subunit 1 [EC:6.1.1.13]	blue	sig
K18104	6.46385702884466	47.029497652007	-1.52359062232268	0.979276392697382	-2.86309872882655	0.0207236073026178	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	abcA, bmrA; ATP-binding cassette, subfamily B, bacterial AbcA/BmrA [EC:7.6.2.2]	blue	sig
K18698	1.77329606607866	4.21901683609092	-0.39676733113579	0.633963681863388	-1.25047341876112	0.366036318136612	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	blaTEM; beta-lactamase class A TEM [EC:3.5.2.6]	lightblue	notsig
K19591	3.57008017692391	8.08274835428631	-0.481803483461545	0.646412358458714	-1.17888945726242	0.353587641541286	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	cueR; MerR family transcriptional regulator, copper efflux regulator	lightblue	notsig
K18344	0.650494192508131	1.25457684956001	-0.529908204913461	0.669523188393371	-0.947592764263263	0.330476811606629	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanRB, vanR, vanRD; two-component system, OmpR family, response regulator VanR	lightblue	notsig
K19299	0.758183431836268	1.28740260346179	-0.34697601097359	0.657365315927815	-0.763844455918724	0.342634684072185	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aph3-III; aminoglycoside 3'-phosphotransferase III [EC:2.7.1.95]	lightblue	notsig
K14188	0.428996334406558	0.716838468873381	-0.392444574367304	0.636120381752652	-0.740682740618466	0.363879618247348	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dltC; D-alanine--poly(phosphoribitol) ligase subunit 2 [EC:6.1.1.13]	lightblue	notsig
K18230	0.472409381117102	0.774948486383373	-0.38006851411185	0.642235953254005	-0.714062798346279	0.357764046745995	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tylC, oleB, carA, srmB; macrolide transport system ATP-binding/permease protein	lightblue	notsig
K19279	0.482568588683967	0.753327526428248	-0.374834781022107	0.644499127167964	-0.642543235245436	0.355500872832036	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	ant9; aminoglycoside 9-adenylyltransferase [EC:2.7.7.-]	lightblue	notsig
K18234	9.80511065769144	14.918016314203	-0.32885592507988	0.672403862635128	-0.605449892124611	0.327596137364872	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vat; virginiamycin A acetyltransferase [EC:2.3.1.-]	lightblue	notsig
K18218	239.386054617597	360.318623987677	-0.792699315808338	0.79911156567662	-0.589934112222787	0.20088843432338	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tet35; tetracycline resistance efflux pump	lightblue	notsig
K18345	0.572753637696778	0.849944577268991	-0.282563658476861	0.739589514371155	-0.569454053367523	0.260410485628845	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanSB, vanS, vanSD; two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]	lightblue	notsig
K18140	0.522526030579579	0.755321247441342	-0.287306524559347	0.731758634100546	-0.531587461504878	0.268241365899454	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	envR, acrS; TetR/AcrR family transcriptional regulator, acrEF/envCD operon repressor	lightblue	notsig
K18938	1.10081518338318	1.51426454679926	-0.206336438179266	0.826008043434717	-0.460044996551072	0.173991956565283	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	qacR; TetR/AcrR family transcriptional regulator, repressor for qacA	lightblue	notsig
