id	T1_LoCHO_FAT_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC	P	level1	level2	level3	ko_name	color	sig	label_hjust	label_nudge
K14205	2.62677786486848	57.6627075924508	-2.21384544653216	0.995872378479284	-4.45627247284625	0.00412762152071577	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mprF, fmtC; phosphatidylglycerol lysyltransferase [EC:2.3.2.3]	blue	sig	0	0.05
K00897	4.93280495145814	97.745826965534	-2.03815398379635	0.98044466623138	-4.30855496334884	0.0195553337686202	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aphA; kanamycin kinase [EC:2.7.1.95]	blue	sig	0	0.05
K18104	6.71168268148555	98.323260405391	-2.16466275386285	0.986899609534866	-3.87278634236357	0.0131003904651336	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	abcA, bmrA; ATP-binding cassette, subfamily B, bacterial AbcA/BmrA [EC:7.6.2.2]	blue	sig	0	0.05
K03367	116.117981059121	975.666563844314	-2.29611701160656	0.992919739016608	-3.07079679468476	0.00708026098339176	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dltA; D-alanine--poly(phosphoribitol) ligase subunit 1 [EC:6.1.1.13]	blue	sig	0	0.05
K18234	10.1810406847813	33.0928118178727	-0.836590639882718	0.722549692504074	-1.70063284100611	0.277450307495926	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vat; virginiamycin A acetyltransferase [EC:2.3.1.-]	lightblue	notsig	0	0.05
K19591	3.70695780987252	8.22687110237947	-0.543068692305844	0.512013075322901	-1.15010814425864	0.487986924677099	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	cueR; MerR family transcriptional regulator, copper efflux regulator	lightblue	notsig	0	0.05
K18344	0.675434278137817	1.4025522189973	-0.520181595756978	0.47794414641914	-1.05416718264015	0.52205585358086	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanRB, vanR, vanRD; two-component system, OmpR family, response regulator VanR	lightblue	notsig	0	0.05
K00662	7.77599844087594	14.3337740815454	-0.446365309252287	0.379320499506165	-0.882318686314806	0.620679500493835	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aacC; aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]	lightblue	notsig	0	0.05
K18230	0.490521657218906	0.872579704483865	-0.409101975676385	0.353944543654729	-0.83097008329566	0.646055456345271	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tylC, oleB, carA, srmB; macrolide transport system ATP-binding/permease protein	lightblue	notsig	0	0.05
K19883	5.53452191258224	9.09135039218778	-0.410115976419488	0.354508948245498	-0.716035904012641	0.645491051754502	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aacA-aphD; bifunctional aminoglycoside 6'-N-acetyltransferase / aminoglycoside 2''-phosphotransferase [EC:2.3.1.82 2.7.1.190]	lightblue	notsig	0	0.05
K18347	0.459585022175194	0.742064604666646	-0.374546971079605	0.322553334945826	-0.691213012880253	0.677446665054174	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanH; D-specific alpha-keto acid dehydrogenase [EC:1.1.1.-]	lightblue	notsig	0	0.05
K18591	3.49481914220119	5.62724779063703	-0.33283404941447	0.277774853361315	-0.687211694842988	0.722225146638685	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dfrD, dhfr; dihydrofolate reductase (trimethoprim resistance protein) [EC:1.5.1.3]	lightblue	notsig	0	0.05
K18345	0.594713133928089	0.924090700618551	-0.336006936992324	0.279498813529752	-0.635840523621693	0.720501186470248	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanSB, vanS, vanSD; two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]	lightblue	notsig	0	0.05
K03740	3.44228245299787	5.28883241509331	-0.228206481657213	0.290001827808341	-0.619583780945742	0.709998172191659	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dltD; D-alanine transfer protein	lightblue	notsig	0	0.05
K18856	0.602216707787635	0.870124421734633	-0.294395767397313	0.251670846471377	-0.530938976580146	0.748329153528623	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanC, vanE, vanG; D-alanine---D-serine ligase [EC:6.3.2.35]	lightblue	notsig	0	0.05
K18938	1.14302067153701	1.56418937839991	-0.210410050080606	0.326884335176463	-0.452563697207133	0.673115664823537	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	qacR; TetR/AcrR family transcriptional regulator, repressor for qacA	lightblue	notsig	0	0.05
K18218	248.564166842851	330.901141158899	-0.533503278754762	0.499103579893242	-0.41278193538407	0.500896420106758	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tet35; tetracycline resistance efflux pump	lightblue	notsig	0	0.05
K07690	1.25762959475796	1.64585578775214	-0.118181357041096	0.592371398157625	-0.388130857427136	0.407628601842375	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	evgA, bvgA; two-component system, NarL family, response regulator EvgA	lightblue	notsig	0	0.05
K18140	0.542559789676101	0.707303536116469	-0.227887910276604	0.290575000834511	-0.382547343764263	0.709424999165489	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	envR, acrS; TetR/AcrR family transcriptional regulator, acrEF/envCD operon repressor	lightblue	notsig	0	0.05
K18907	2.07067164200031	2.69045542963276	-0.162757300552314	0.497542951549978	-0.377751611690272	0.502457048450022	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	norG; GntR family transcriptional regulator, regulator for abcA and norABC	lightblue	notsig	0	0.05
K19299	0.787252345795511	1.01269047267916	-0.182285312215496	0.421325535127113	-0.363295227629307	0.578674464872887	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aph3-III; aminoglycoside 3'-phosphotransferase III [EC:2.7.1.95]	lightblue	notsig	0	0.05
K18138	5517.05226433106	6804.70108577294	-0.838307218118574	0.725195442011013	-0.302634141457588	0.274804557988987	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump	lightblue	notsig	0	0.05
K02546	0.520851424453123	0.629340038145774	-0.164186606298246	0.492383085039755	-0.272967834005855	0.507616914960245	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mecI; BlaI family transcriptional regulator, methicillin resistance regulatory protein	lightblue	notsig	0	0.05
K19545	107.158985093625	126.895148760285	-0.277768545531695	0.242110388296213	-0.243884093023742	0.757889611703787	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	lnuA_C_D_E, lin; lincosamide nucleotidyltransferase A/C/D/E	lightblue	notsig	0	0.05
K19078	8.10030040022935	9.32340798632842	-0.137251466513071	0.56944218772769	-0.202881988318213	0.43055781227231	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	graR; two-component system, OmpR family, response regulator protein GraR	lightblue	notsig	0	0.05
K07637	0.722394097924868	0.807220141903832	-0.0720460385199847	0.583434275160391	-0.160176067464447	0.416565724839609	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	phoQ; two-component system, OmpR family, sensor histidine kinase PhoQ [EC:2.7.13.3]	lightblue	notsig	0	0.05
