id	T1_LoCHO_PROT_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC	P	level1	level2	level3	ko_name	color	sig
K18221	1.01853875081841	29.7070287139822	-2.10958439121981	0.999944758876652	-4.86623154004697	5.52411233484262e-05	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tetX; tetracycline 11a-monooxygenase, tetracycline resistance protein [EC:1.14.13.231]	blue	sig
K15632	0.582440846511793	7.06233230370741	-1.26272111925276	0.954655569875394	-3.59996126554064	0.045344430124606	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	cfr; 23S rRNA (adenine-C8)-methyltransferase [EC:2.1.1.224]	blue	sig
K00561	165.939763585395	617.58478466863	-1.77514338336117	0.988372583524795	-1.89597757374785	0.0116274164752052	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	ermC, ermA; 23S rRNA (adenine-N6)-dimethyltransferase [EC:2.1.1.184]	blue	sig
K18142	1.52852395265643	4.15609904125695	-0.749108450528433	0.901551307122843	-1.44309087448553	0.0984486928771572	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	acrF; multidrug efflux pump	lightblue	notsig
K18898	28.1183009041697	75.9232892487539	-1.15676610414011	0.95215550303482	-1.43303307628868	0.0478444969651798	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mdtE; membrane fusion protein, multidrug efflux system	blue	sig
K18141	0.808937995005591	2.11146325692374	-0.491266128780767	0.794076267824865	-1.38414211237914	0.205923732175135	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	acrE; membrane fusion protein, multidrug efflux system	lightblue	notsig
K18139	59.5606593265227	122.889981049615	-0.951435210086653	0.930217274915534	-1.04493567123179	0.0697827250844657	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	oprM, emhC, ttgC, cusC, adeK, smeF, mtrE, cmeC, gesC; outer membrane protein, multidrug efflux system	lightblue	notsig
K12340	26.4202598709482	53.5082090275739	-0.721810372302131	0.89567980209696	-1.01811558425186	0.10432019790304	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tolC, bepC, cyaE, raxC, sapF, rsaF, hasF; outer membrane protein	lightblue	notsig
K03585	42.1071850775088	85.0794608580039	-0.919194100217915	0.928642426175561	-1.01474445847169	0.0713575738244385	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system	lightblue	notsig
K13632	3.45973084130745	6.81246939642688	-0.578447518742558	0.839841488480436	-0.97751803974767	0.160158511519564	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	marA; AraC family transcriptional regulator, mar-sox-rob regulon activator	lightblue	notsig
K08641	1.81121278347076	3.17621802843381	-0.365545771491202	0.707078532894854	-0.810353902489534	0.292921467105146	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanX; zinc D-Ala-D-Ala dipeptidase [EC:3.4.13.22]	lightblue	notsig
K18899	1.85321444963635	3.1275052984789	-0.363532536392878	0.705336266444673	-0.754982492225373	0.294663733555327	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mdtF; multidrug efflux pump	lightblue	notsig
K17881	0.591899975941474	0.965853748331543	-0.362426465645399	0.704350797124115	-0.706451351445738	0.295649202875885	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aadB; aminoglycoside 2''-adenylyltransferase [EC:2.7.7.46]	lightblue	notsig
K19271	8.30730877276345	13.4771891602073	-0.46252307128099	0.775134090287852	-0.69806655164075	0.224865909712148	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	catA; chloramphenicol O-acetyltransferase type A [EC:2.3.1.28]	lightblue	notsig
K18140	0.813316514683447	1.21237284928537	-0.275465730497066	0.607490952125396	-0.575944635140916	0.392509047874604	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	envR, acrS; TetR/AcrR family transcriptional regulator, acrEF/envCD operon repressor	lightblue	notsig
K19545	126.282601417984	177.757577052407	-0.63400161724534	0.859354083132899	-0.49325517158643	0.140645916867101	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	lnuA_C_D_E, lin; lincosamide nucleotidyltransferase A/C/D/E	lightblue	notsig
K08170	7.51957160557317	10.0258759002494	-0.182225567246309	0.261482499502189	-0.415005903572275	0.738517500497811	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	norB, norC; MFS transporter, DHA2 family, multidrug resistance protein	lightblue	notsig
K00662	3.8248137347874	4.96105327147503	-0.146971119656147	0.166283546226066	-0.375256957400853	0.833716453773934	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aacC; aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]	lightblue	notsig
