id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level1	level2	level3	ko_name	color	sig	label_hjust	label_nudge
K14205	3.30409692407567	32.1097995524361	-1.74156205145051	0.96618755488326	-3.28068574572402	0.0338124451167402	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mprF, fmtC; phosphatidylglycerol lysyltransferase [EC:2.3.2.3]	blue	sig	0	0.05
K18698	0.590258290653232	3.89035388027899	-1.10614389740841	0.893594257456371	-2.72048308827522	0.106405742543629	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	blaTEM; beta-lactamase class A TEM [EC:3.5.2.6]	lightblue	notsig	0	0.05
K19591	1.95825975610349	7.65934797202524	-0.853674231626084	0.791425488368334	-1.96764943713297	0.208574511631666	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	cueR; MerR family transcriptional regulator, copper efflux regulator	lightblue	notsig	0	0.05
K03740	0.939644912896029	2.74232589163577	-0.801500763189137	0.782941894958168	-1.54521245016872	0.217058105041832	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dltD; D-alanine transfer protein	lightblue	notsig	0	0.05
K18938	0.542687433838341	1.44281033177253	-0.714284044186696	0.74014481338056	-1.41068825126843	0.25985518661944	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	qacR; TetR/AcrR family transcriptional regulator, repressor for qacA	lightblue	notsig	0	0.05
K18907	0.748080282573925	1.84351139684994	-0.776822969206829	0.773377175898047	-1.30119132454344	0.226622824101953	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	norG; GntR family transcriptional regulator, regulator for abcA and norABC	lightblue	notsig	0	0.05
K18344	0.514768006811708	1.18682086260161	-0.800652159125995	0.782685396496993	-1.2051078956938	0.217314603503007	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanRB, vanR, vanRD; two-component system, OmpR family, response regulator VanR	lightblue	notsig	0	0.05
K18591	1.94207560344829	4.12566266343659	-0.655725024201156	0.674393256844773	-1.08702649865964	0.325606743155227	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dfrD, dhfr; dihydrofolate reductase (trimethoprim resistance protein) [EC:1.5.1.3]	lightblue	notsig	0	0.05
K02547	5.70516779880036	11.7773313777303	-0.736512984082489	0.743826301541727	-1.04567145193348	0.256173698458273	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mecR1; methicillin resistance protein	lightblue	notsig	0	0.05
K19883	2.65041575563769	5.339797668614	-0.592913075640344	0.614991917371712	-1.01056639270106	0.385008082628288	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aacA-aphD; bifunctional aminoglycoside 6'-N-acetyltransferase / aminoglycoside 2''-phosphotransferase [EC:2.3.1.82 2.7.1.190]	lightblue	notsig	0	0.05
K08641	0.845769073437187	1.64235052818845	-0.43308207342181	0.440611098943535	-0.957426362972138	0.559388901056465	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanX; zinc D-Ala-D-Ala dipeptidase [EC:3.4.13.22]	lightblue	notsig	0	0.05
K19077	3.1175134942152	5.57699818550153	-0.571485026948148	0.587320658593934	-0.839092996791273	0.412679341406066	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	graS; two-component system, OmpR family, sensor histidine kinase GraS [EC:2.7.13.3]	lightblue	notsig	0	0.05
K18234	8.22740319580847	14.0145072132667	-0.491415406116107	0.485388181192825	-0.768411964617667	0.514611818807175	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vat; virginiamycin A acetyltransferase [EC:2.3.1.-]	lightblue	notsig	0	0.05
K19299	0.74047548955865	1.2336085024974	-0.371337784014504	0.400787670867105	-0.73636072715867	0.599212329132895	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aph3-III; aminoglycoside 3'-phosphotransferase III [EC:2.7.1.95]	lightblue	notsig	0	0.05
K19545	68.0847289271457	110.975511355139	-0.851742453568227	0.790975520980006	-0.704838206188516	0.209024479019994	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	lnuA_C_D_E, lin; lincosamide nucleotidyltransferase A/C/D/E	lightblue	notsig	0	0.05
K07644	2.82952612975079	4.20302363064409	-0.360212968116067	0.389457103126089	-0.570867107471359	0.610542896873911	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	cusS, copS, silS; two-component system, OmpR family, heavy metal sensor histidine kinase CusS [EC:2.7.13.3]	lightblue	notsig	0	0.05
K18230	0.494704321886793	0.732600394719123	-0.334891415044436	0.363406513283965	-0.56645997498658	0.636593486716035	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tylC, oleB, carA, srmB; macrolide transport system ATP-binding/permease protein	lightblue	notsig	0	0.05
K19279	0.502952321597201	0.718143619569562	-0.323571723481749	0.349461128692478	-0.513850750259764	0.650538871307522	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	ant9; aminoglycoside 9-adenylyltransferase [EC:2.7.7.-]	lightblue	notsig	0	0.05
K18345	0.567334582993153	0.808123922208199	-0.29185562933814	0.295358564263412	-0.510376731809851	0.704641435736588	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanSB, vanS, vanSD; two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]	lightblue	notsig	0	0.05
K18346	0.787029181742417	1.10853113205535	-0.321557874067838	0.346721744412634	-0.494160252922047	0.653278255587366	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanW; vancomycin resistance protein VanW	lightblue	notsig	0	0.05
K18856	0.464064335363262	0.641414321737541	-0.332747558227623	0.360925831028529	-0.466931740534493	0.639074168971471	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanC, vanE, vanG; D-alanine---D-serine ligase [EC:6.3.2.35]	lightblue	notsig	0	0.05
K14188	0.497034921096104	0.68090846640261	-0.26332777472505	0.237733005333842	-0.454113654317061	0.762266994666158	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dltC; D-alanine--poly(phosphoribitol) ligase subunit 2 [EC:6.1.1.13]	lightblue	notsig	0	0.05
K13632	2.32982501069051	3.13068898392413	-0.254437696715937	0.219414229930744	-0.426258591573709	0.780585770069256	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	marA; AraC family transcriptional regulator, mar-sox-rob regulon activator	lightblue	notsig	0	0.05
K08217	502.058458436967	658.034989088378	-0.944238377305598	0.827370135624634	-0.390308939319201	0.172629864375366	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mef; MFS transporter, DHA3 family, macrolide efflux protein	lightblue	notsig	0	0.05
K12340	17.609505382409	22.9499330748497	-0.276117938397542	0.263820029664079	-0.382135559376631	0.736179970335921	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tolC, bepC, cyaE, raxC, sapF, rsaF, hasF; outer membrane protein	lightblue	notsig	0	0.05
K18140	0.55803021442769	0.711814246962831	-0.208114994996235	0.172188259722196	-0.351157570092788	0.827811740277804	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	envR, acrS; TetR/AcrR family transcriptional regulator, acrEF/envCD operon repressor	lightblue	notsig	0	0.05
K19271	6.12572227872643	7.32476584193229	-0.175617123326117	0.185344440041621	-0.257902679111058	0.814655559958379	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	catA; chloramphenicol O-acetyltransferase type A [EC:2.3.1.28]	lightblue	notsig	0	0.05
K03367	702.501578887367	834.578925056363	-0.297333120968831	0.306094511941036	-0.248547022030111	0.693905488058964	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dltA; D-alanine--poly(phosphoribitol) ligase subunit 1 [EC:6.1.1.13]	lightblue	notsig	0	0.05
K05593	0.979621636369375	1.15616984486115	-0.142934383315204	0.210087552111252	-0.239056806303903	0.789912447888748	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aadK; aminoglycoside 6-adenylyltransferase [EC:2.7.7.-]	lightblue	notsig	0	0.05
K19300	0.51375041511208	0.599185510818684	-0.145784304480135	0.208441088892442	-0.221935083246697	0.791558911107558	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aph3-II; aminoglycoside 3'-phosphotransferase II [EC:2.7.1.95]	lightblue	notsig	0	0.05
K18908	634.780457126106	736.453471897374	-0.70646349343062	0.736960375064144	-0.214336667821693	0.263039624935856	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mepA; MATE family, multidrug efflux pump	lightblue	notsig	0	0.05
K00638	1.11198634426138	1.28691004772567	-0.123473415290334	0.230557427745104	-0.210772144602529	0.769442572254896	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	catB; chloramphenicol O-acetyltransferase type B [EC:2.3.1.28]	lightblue	notsig	0	0.05
K19078	6.559385350835	7.41428552968185	-0.114217238166401	0.246602783391527	-0.176747042485276	0.753397216608473	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	graR; two-component system, OmpR family, response regulator protein GraR	lightblue	notsig	0	0.05
K19273	0.491134402377936	0.54912202115185	-0.122543478296144	0.232057409497134	-0.16100888588467	0.767942590502866	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	sat4; streptothricin acetyltransferase [EC:2.3.-.-]	lightblue	notsig	0	0.05
K18347	0.49143487676841	0.545589622205673	-0.114500785031206	0.246100753760867	-0.150815954436491	0.753899246239133	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanH; D-specific alpha-keto acid dehydrogenase [EC:1.1.1.-]	lightblue	notsig	0	0.05
