id	Prefeed_HiCHO_mean	T1_LoCHO_FAT_mean	theta	prob	log2FC	P	level1	level2	level3	ko_name	color	sig
K15632	0.721354379864912	74.0612139772115	-1.98546692852295	0.991106534268427	-6.68186620086093	0.00889346573157268	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	cfr; 23S rRNA (adenine-C8)-methyltransferase [EC:2.1.1.224]	blue	sig
K18221	4.91014555550174	30.5110225976802	-0.807532489251143	0.95309940743867	-2.63549283634505	0.0469005925613298	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tetX; tetracycline 11a-monooxygenase, tetracycline resistance protein [EC:1.14.13.231]	blue	sig
K19077	3.29417218355306	10.8444232449701	-1.15524085230774	0.980554195259051	-1.71896545548303	0.0194458047409493	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	graS; two-component system, OmpR family, sensor histidine kinase GraS [EC:2.7.13.3]	blue	sig
K03740	0.99289133478425	3.16299646414778	-0.91476053655194	0.964724238657081	-1.67158420476728	0.0352757613429194	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dltD; D-alanine transfer protein	blue	sig
K00561	610.794552707592	1912.88654226878	-0.807231920856584	0.953056339471565	-1.64699220582211	0.0469436605284349	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	ermC, ermA; 23S rRNA (adenine-N6)-dimethyltransferase [EC:2.1.1.184]	blue	sig
K18698	0.623706183081315	1.72613801140519	-0.556670519945461	0.899218364510072	-1.46860935198364	0.100781635489928	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	blaTEM; beta-lactamase class A TEM [EC:3.5.2.6]	lightblue	notsig
K13632	2.46184812255157	5.95919101007175	-0.707807669765198	0.942199346829365	-1.27537472975407	0.0578006531706348	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	marA; AraC family transcriptional regulator, mar-sox-rob regulon activator	lightblue	notsig
K18907	0.790471400522326	1.9012390573649	-0.732800180270627	0.945895225151113	-1.26615477297358	0.0541047748488873	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	norG; GntR family transcriptional regulator, regulator for abcA and norABC	lightblue	notsig
K18898	28.7093085008417	67.3435822973729	-1.15635044939269	0.980549142327446	-1.230021884545	0.0194508576725543	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mdtE; membrane fusion protein, multidrug efflux system	blue	sig
K03585	41.4665051361829	82.6948121010633	-0.948268815316929	0.963499665383873	-0.995850364359285	0.036500334616127	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system	blue	sig
K12340	18.6073750456893	36.4687859303254	-0.755098884229623	0.949010645427578	-0.970787624376257	0.050989354572422	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tolC, bepC, cyaE, raxC, sapF, rsaF, hasF; outer membrane protein	lightblue	notsig
K08641	0.893695876728708	1.73332724918987	-0.524653173318013	0.887933409998704	-0.955688185313183	0.112066590001296	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanX; zinc D-Ala-D-Ala dipeptidase [EC:3.4.13.22]	lightblue	notsig
K19883	2.80060563435359	5.16074298719449	-0.534767669742882	0.891915478215325	-0.881839938561076	0.108084521784675	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aacA-aphD; bifunctional aminoglycoside 6'-N-acetyltransferase / aminoglycoside 2''-phosphotransferase [EC:2.3.1.82 2.7.1.190]	lightblue	notsig
K18938	0.573439650616201	1.05241737611729	-0.49541165389839	0.874107945352167	-0.875993405056955	0.125892054647833	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	qacR; TetR/AcrR family transcriptional regulator, repressor for qacA	lightblue	notsig
K02547	6.02845989285508	10.8721125169188	-0.480887858656116	0.867967521685647	-0.850770906875613	0.132032478314353	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mecR1; methicillin resistance protein	lightblue	notsig
K18346	0.831627398871311	1.45738061444882	-0.444496963367749	0.8519209287811	-0.809368510473327	0.1480790712189	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanW; vancomycin resistance protein VanW	lightblue	notsig
K03739	0.971904520107296	1.67171272394362	-0.353824952975003	0.790517229733414	-0.782440452730492	0.209482770266586	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dltB; membrane protein involved in D-alanine export	lightblue	notsig
K19271	6.47284573818077	11.0639767088398	-0.530247199450365	0.890199149260506	-0.773397997663221	0.109800850739494	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	catA; chloramphenicol O-acetyltransferase type A [EC:2.3.1.28]	lightblue	notsig
K18899	1.64342563639453	2.79763233389364	-0.287614031040272	0.723892660993542	-0.767500198148027	0.276107339006458	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mdtF; multidrug efflux pump	lightblue	notsig
K19591	2.06922755224559	3.46638403779238	-0.422803971724023	0.840021751417464	-0.74433919172951	0.159978248582536	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	cueR; MerR family transcriptional regulator, copper efflux regulator	lightblue	notsig
K18591	2.05212629972814	3.2539319329075	-0.337142460620316	0.776533583436851	-0.665064546956033	0.223466416563149	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dfrD, dhfr; dihydrofolate reductase (trimethoprim resistance protein) [EC:1.5.1.3]	lightblue	notsig
K18139	81.703362842376	127.314123754234	-0.780002045419837	0.950845036326361	-0.639925110494477	0.0491549636736391	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	oprM, emhC, ttgC, cusC, adeK, smeF, mtrE, cmeC, gesC; outer membrane protein, multidrug efflux system	blue	sig
